image,description
image.7508.jpg,a man standing in front of a display of fresh produce
image.2263.jpg,a baseball player pitching a ball on a baseball field
image.436.jpg,a display case filled with bottles of alcohol
image.1032.jpg,a machine that is sitting on top of a counter
image.10743.jpg,a blurry image of a sunset with a clear blue sky
image.8847.jpg,a table topped with lots of different types of food
image.12663.jpg,a man sitting in a chair next to a piano
image.11164.jpg,a large group of people standing around a large group of people
image.16211.jpg,a man and a woman dressed in suits and ties
image.9877.jpg,a white bird sitting on top of a body of water
image.5037.jpg,a table topped with lots of different colored balls
image.12390.jpg,a large group of people are gathered around a tent
image.57.jpg,a large ship in the middle of a large body of water
image.1022.jpg,a glass of water sitting on top of a table
image.3774.jpg,a painting of a man in a suit and tie
image.123.jpg,a piece of food that is on top of a table
image.9588.jpg,a vase filled with flowers sitting on top of a table
image.1795.jpg,a green and white green and white green and white green and white green and
image.3392.jpg,a brown and white bird standing on top of a green plant
image.13801.jpg,a painting of a man holding a red bird
image.6160.jpg,a table topped with a bunch of different colored objects
image.3205.jpg,a tall building with a lot of windows
image.4380.jpg,a white and black dog standing in a grassy field
image.1420.jpg,two men standing next to each other holding tennis racquets
image.12293.jpg,a large gray elephant standing in a grassy field
image.8032.jpg,a plant in the middle of a field
image.1479.jpg,a small white bird sitting on top of a table
image.10945.jpg,a box with a bunch of different colored donuts on it
image.8666.jpg,a person's hand holding a pink and white object
image.8135.jpg,a small black and white pot with a fish in it
image.6256.jpg,a white plate topped with a bunch of different types of food
image.13950.jpg,a large brown cow standing on top of a pile of logs
image.10902.jpg,a small black and white bird sitting on a patch of dirt
image.13470.jpg,a broken fire hydrant in the middle of a dirt field
image.13183.jpg,a man riding skis down a snow covered slope
image.15007.jpg,a painting of a person holding a bird on top of a table
image.6455.jpg,a painting of a dead bird in the middle of a field
image.5214.jpg,a large white pot filled with lots of green leaves
image.986.jpg,a person holding a black and white knife
image.3372.jpg,a plant that is growing in a field
image.13380.jpg,a bird standing on top of a lush green field
image.8615.jpg,a pot of boiling water on top of a table
