image,description
image.4841.jpg,a dessert with whipped cream and strawberries on a glass
image.5419.jpg,a white bowl filled with soup and vegetables
image.2263.jpg,a baseball player pitching a ball on a baseball field
image.436.jpg,a display case filled with bottles of alcohol
image.1032.jpg,a machine that is sitting on top of a counter
image.10743.jpg,a blurry image of a sunset with a clear blue sky
image.8847.jpg,a table topped with lots of different types of food
image.5744.jpg,a crowd of people standing around a fire hydrant
image.12265.jpg,a palm tree in the middle of a forest
image.2706.jpg,a man that is on a mic and talking on a cell phone
image.5037.jpg,a table topped with lots of different colored balls
image.12390.jpg,a large group of people are gathered around a tent
image.57.jpg,a large ship in the middle of a large body of water
image.10738.jpg,a man holding a bird on top of a desert
image.1022.jpg,a glass of water sitting on top of a table
image.123.jpg,a piece of food that is on top of a table
image.9588.jpg,a vase filled with flowers sitting on top of a table
image.3495.jpg,a plant that is growing in the ground
image.3205.jpg,a tall building with a lot of windows
image.6160.jpg,a table topped with a bunch of different colored objects
image.13801.jpg,a painting of a man holding a red bird
image.14871.jpg,a black and white photo of a wooden table
image.1420.jpg,two men standing next to each other holding tennis racquets
image.6257.jpg,a man and woman at a table with food
image.3102.jpg,a plant that is growing in the middle of a tree
image.16589.jpg,a white goat standing on top of a lush green hillside
image.9018.jpg,a red and yellow fire hydrant in the middle of a garden
image.5509.jpg,a piece of wood sitting on top of a piece of paper
image.12293.jpg,a large gray elephant standing in a grassy field
image.8032.jpg,a plant in the middle of a field
image.1479.jpg,a small white bird sitting on top of a table
image.6855.jpg,a tree with a bunch of berries on top of it
image.10945.jpg,a box with a bunch of different colored donuts on it
image.8666.jpg,a person's hand holding a pink and white object
image.8851.jpg,a piece of wood that is on top of a rock
image.12676.jpg,a red and white photo of a red and white flower
image.12094.jpg,a stone wall with rocks on top of it
image.8312.jpg,a man in a baseball uniform talking on a cell phone
image.13470.jpg,a broken fire hydrant in the middle of a dirt field
image.3120.jpg,a machine that is sitting on top of a table
image.13183.jpg,a man riding skis down a snow covered slope
image.15007.jpg,a painting of a person holding a bird on top of a table
image.5214.jpg,a large white pot filled with lots of green leaves
image.986.jpg,a person holding a black and white knife
image.3372.jpg,a plant that is growing in a field
image.13380.jpg,a bird standing on top of a lush green field
image.8615.jpg,a pot of boiling water on top of a table
image.8458.jpg,a flower in a flower pot on a tree branch
image.2008.jpg,a large blue and white truck is parked on the side of the road
image.2937.jpg,a black and white photo of a brown and white horse
image.4375.jpg,a red and white checkered cloth on a red and white chec
image.5822.jpg,a wooden object that is hanging on a wall
image.5344.jpg,a dirty looking piece of wood sitting on top of a dirt ground
image.2000.jpg,a wooden stick with a toothpick in it
image.5474.jpg,a lit up christmas tree in the middle of a park
image.6809.jpg,a row of empty bottles sitting next to each other
image.10849.jpg,a large building with a clock on the front of it
image.13871.jpg,a white vase filled with lots of different colored flowers
image.1600.jpg,a colorful kite with a clock on it
image.11229.jpg,a woman is holding a cell phone in her hand
image.898.jpg,a large group of people standing in front of a building
image.13342.jpg,a blue and white photo of some rocks and water
image.6218.jpg,a plant that is growing out of a tree
image.2348.jpg,a white truck parked in front of a building
image.304.jpg,a black and white photo of a flower in a stream
image.13047.jpg,a bird perched on top of a tree branch
image.6139.jpg,a plant that is growing out of the ground
image.4889.jpg,a woman standing next to a statue of a man
image.7072.jpg,a woman is laying down in the sun
image.7697.jpg,a pair of scissors sitting on top of a table
image.2083.jpg,a brown and white bird standing on top of a dry grass field
image.8965.jpg,a man in a suit and a woman in a suit
image.14105.jpg,a painting of a woman sitting on a bed
image.153.jpg,a black and white photo of a black and white bird
image.3686.jpg,a person's hand holding a red and white object
image.12470.jpg,a black and white photo of a black and white fire hydrant
image.2452.jpg,a large building with a large clock on the front of it
image.583.jpg,a black bird standing on top of a dirt ground
image.1893.jpg,a green and white bird sitting on top of a piece of wood
image.900.jpg,a blue and white flower in a blue vase
image.3007.jpg,a plant that is growing out of a tree
image.5386.jpg,young men standing around a soccer field
image.3544.jpg,a garden filled with lots of green plants
image.10821.jpg,a small pink flower in a flower pot
image.4746.jpg,a man dressed in a costume and wearing a hat
image.9627.jpg,a man in a suit and tie posing for a picture
image.2328.jpg,a statue of a man and woman in front of a stone wall
image.13418.jpg,a painting of a man sitting on a white horse
image.4293.jpg,a crowd of people standing in a grassy field
image.4573.jpg,a large green plant in the middle of a field
image.6718.jpg,a garden filled with lots of plants and flowers
image.11790.jpg,a statue of a man dressed in a costume
image.1923.jpg,a woman wearing glasses and sunglasses posing for a picture
image.3600.jpg,a small boat on a body of water
image.12932.jpg,a man cooking food on top of a stove top
image.676.jpg,a blurry photo of an airplane flying through the sky
image.10035.jpg,a flower pot sitting on top of a rock
image.2167.jpg,a large church with a large clock on the front of it
image.9078.jpg,a small yellow bird sitting on top of a tree branch
image.11231.jpg,a cat sitting on top of a television screen
image.8642.jpg,a black and white model of a black and white model of a black and
image.918.jpg,a pair of red and white striped necklaces on a tree
image.4447.jpg,a person holding a fish in their hand
image.10262.jpg,a large sailboat is docked in a harbor
image.8468.jpg,a glass vase with a flower on top of it
image.1045.jpg,a red and green bird on a green background
image.9964.jpg,a green plant growing on top of a wooden table
image.3693.jpg,a crowd of people standing in front of a train
image.11535.jpg,a man in a red shirt is playing a game of frisbee
image.192.jpg,a woman standing next to a man on a bench
image.6841.jpg,young women standing on top of a lush green field
image.1417.jpg,a red stuffed animal sitting on top of a yellow toy
image.7939.jpg,a black and white photo of a black and white fire hydrant
image.8780.jpg,men standing next to each other
image.10746.jpg,two black and white birds on a black surface
image.8944.jpg,a large building with a clock on the front of it
image.12254.jpg,a vase filled with flowers on top of a table
image.15021.jpg,a number of small birds in a field
image.9393.jpg,a collage of photos of men in suits and ties
image.8116.jpg,a zebra standing on top of a lush green field
image.5968.jpg,a bird that is standing on a branch
image.10329.jpg,a woman in a costume holding a sword
image.11161.jpg,a plant that is growing out of the ground
image.3232.jpg,a black and white patterned pillow on top of a wooden table
image.2409.jpg,a table topped with lots of different types of food
image.10692.jpg,a person laying on a bed with a cat
image.1881.jpg,a person in a body of water with a surfboard
image.4394.jpg,a street filled with lots of clothes and umbrellas
image.6053.jpg,a large room filled with lots of tables and chairs
