image,description
image.5419.jpg,a white bowl filled with soup and vegetables
image.2263.jpg,a baseball player pitching a ball on a baseball field
image.436.jpg,a display case filled with bottles of alcohol
image.1032.jpg,a machine that is sitting on top of a counter
image.9316.jpg,a young boy smiling while holding a piece of paper
image.10743.jpg,a blurry image of a sunset with a clear blue sky
image.8847.jpg,a table topped with lots of different types of food
image.9354.jpg,a painting of a group of people on a boat
image.2706.jpg,a man that is on a mic and talking on a cell phone
image.11836.jpg,a brown and white cat sitting on top of a log
image.5037.jpg,a table topped with lots of different colored balls
image.13308.jpg,a bird is standing in the middle of a field
image.3816.jpg,a pile of dirt on top of a pile of rocks
image.6390.jpg,a crowd of people standing around a body of water
image.12390.jpg,a large group of people are gathered around a tent
image.57.jpg,a large ship in the middle of a large body of water
image.1022.jpg,a glass of water sitting on top of a table
image.123.jpg,a piece of food that is on top of a table
image.11961.jpg,a plant that is growing out of a tree
image.3679.jpg,a small brown and white bird standing on a branch
image.1795.jpg,a green and white green and white green and white green and white green and
image.917.jpg,a bird perched on top of a tree branch
image.9414.jpg,a brick building with a clock on the side of it
image.3205.jpg,a tall building with a lot of windows
image.13801.jpg,a painting of a man holding a red bird
image.6160.jpg,a table topped with a bunch of different colored objects
image.4380.jpg,a white and black dog standing in a grassy field
image.1420.jpg,two men standing next to each other holding tennis racquets
image.16589.jpg,a white goat standing on top of a lush green hillside
image.9018.jpg,a red and yellow fire hydrant in the middle of a garden
image.12293.jpg,a large gray elephant standing in a grassy field
image.8032.jpg,a plant in the middle of a field
image.1479.jpg,a small white bird sitting on top of a table
image.147.jpg,a crowd of people standing in front of a train
image.10945.jpg,a box with a bunch of different colored donuts on it
image.8666.jpg,a person's hand holding a pink and white object
image.8135.jpg,a small black and white pot with a fish in it
image.13950.jpg,a large brown cow standing on top of a pile of logs
image.1206.jpg,a car parked on the side of the street
image.13470.jpg,a broken fire hydrant in the middle of a dirt field
image.13183.jpg,a man riding skis down a snow covered slope
image.1878.jpg,an old photo of a train on a track
image.986.jpg,a person holding a black and white knife
image.3372.jpg,a plant that is growing in a field
image.8615.jpg,a pot of boiling water on top of a table
image.10997.jpg,a black and white clock on a white surface
image.6853.jpg,a bottle of alcohol sitting on top of a wooden table
image.3485.jpg,a flower in the middle of a green plant
image.8458.jpg,a flower in a flower pot on a tree branch
image.2937.jpg,a black and white photo of a brown and white horse
image.14112.jpg,a blue vase filled with flowers on top of a tree
image.4873.jpg,a large body of water with a surfboard on top of it
image.4375.jpg,a red and white checkered cloth on a red and white chec
image.5822.jpg,a wooden object that is hanging on a wall
image.6556.jpg,a small group of yellow flowers in a tree
image.1817.jpg,a statue of a man in a suit and hat
image.5344.jpg,a dirty looking piece of wood sitting on top of a dirt ground
image.2000.jpg,a wooden stick with a toothpick in it
image.5474.jpg,a lit up christmas tree in the middle of a park
image.1035.jpg,a white plate topped with fruit and vegetables
image.8613.jpg,a painting of a cartoon character on a surfboard
image.10849.jpg,a large building with a clock on the front of it
image.13871.jpg,a white vase filled with lots of different colored flowers
image.11229.jpg,a woman is holding a cell phone in her hand
image.6924.jpg,a close up view of a fish in a fish tank
image.898.jpg,a large group of people standing in front of a building
image.13342.jpg,a blue and white photo of some rocks and water
image.2348.jpg,a white truck parked in front of a building
image.8622.jpg,a pile of yellow flowers sitting on top of a green field
image.304.jpg,a black and white photo of a flower in a stream
image.4889.jpg,a woman standing next to a statue of a man
image.3481.jpg,a field full of tall grass with a sky background
image.11073.jpg,a cell phone is on a phone booth
image.7072.jpg,a woman is laying down in the sun
image.1717.jpg,a laptop computer sitting on top of a table
image.7697.jpg,a pair of scissors sitting on top of a table
image.11818.jpg,a vase filled with red flowers next to a tree
image.8965.jpg,a man in a suit and a woman in a suit
image.153.jpg,a black and white photo of a black and white bird
image.3686.jpg,a person's hand holding a red and white object
image.5884.jpg,a close up picture of a green and white watering hole
image.12470.jpg,a black and white photo of a black and white fire hydrant
image.3012.jpg,a pair of scissors sitting on top of a wooden floor
image.1893.jpg,a green and white bird sitting on top of a piece of wood
image.900.jpg,a blue and white flower in a blue vase
image.3007.jpg,a plant that is growing out of a tree
image.10839.jpg,a small brown and white animal standing in a grassy field
